STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : DENIZLI CARDAK ILCE GIDA TARIM VE HAYVANCILIK MUDURLUGU
EARTHQUAKE DATE         : 2019/08/08 11:25:30 (GMT)
EPICENTER COORDINATES   : 37.85100N-29.58400E
EARTHQUAKE DEPTH (km)   : 10.92
EARTHQUAKE MAGNITUDE    : 6.0 Mw
STATION ID              : 2005
STATION COORDINATES     : 37.82446N-29.66813E
STATION ALTITUDE (m)    : 863
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52709/101159
RECORD TIME             : 08/08/2019 11:25:27.00 (GMT)
NUMBER OF DATA          : 3776
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 423.363542 (E-W) 274.004174 (U-D) 347.534292
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.009096     -0.045738     0.003898
   -0.005457     -0.026248     0.012474
   -0.004158     -0.008836     0.020530
    0.018191      0.013773     0.009096
    0.027807     -0.000520    -0.021050
   -0.001299     -0.019231    -0.011175
   -0.004418     -0.017932    -0.018191
    0.000260     -0.026248     0.012474
    0.015852     -0.005717     0.030406
    0.018191     -0.011435    -0.008316
    0.011954     -0.012734    -0.017672
    0.028067     -0.011694    -0.030665
    0.002079     -0.017412     0.004158
   -0.020790     -0.005198     0.034824
    0.004938     -0.005457     0.008836
    0.007796     -0.006237     0.015593
    0.031185     -0.037422    -0.017412
    0.034824     -0.021050    -0.038722
   -0.016892      0.008576     0.000520
   -0.000260     -0.016112    -0.004678
    0.010655     -0.015593     0.011175
   -0.003119     -0.005198     0.029366
    0.025728      0.003378     0.011435
    0.035083     -0.026767    -0.023909
    0.010135     -0.027027    -0.066529
    0.003638     -0.012474    -0.104211
    0.012994     -0.025988    -0.172558
    0.032225      0.013254    -0.502862
    0.210240      0.041580    -2.220129
    0.520274      0.053275    -4.677786
    0.726876      0.018711    -4.641403
    0.737531      0.020790    -3.324866
    0.930620     -0.053015    -5.283559
    1.805885     -0.147610   -11.035417
    2.798096      0.055614   -17.956721
    3.397892     -0.128899   -18.846020
    3.361249     -0.446988    -9.788267
    2.752877     -0.390855    -6.124521
    3.362549     -1.310820   -13.183300
    4.595665     -1.735718   -11.048671
    3.283026     -1.050683    -0.809777
    1.392941     -2.023662     3.093056
    2.082654     -1.957913     0.297299
    0.830827     -0.580305    -2.619560
   -0.826149     -1.819139     7.022656
    1.976884     -2.379694    21.006897
    1.442057     -1.471683    17.402663
   -0.804059     -1.970128     7.596724
    0.608632     -0.704527    10.192376
   -0.776512     -0.418662    16.411233
   -1.147097     -2.436087    15.445530
    1.195694      0.054054     2.977151
   -0.183733      1.416330   -12.902633
    0.363048     -1.055101    -9.578027
    5.162457     -1.070433    10.319456
    2.886714      0.103691    22.927908
   -2.228185      1.561601     9.126880
    2.831620      2.025481   -44.180909
    4.792132     -0.351614   -67.981484
    1.302763      1.414511   -25.810984
    2.336554      4.026534    -4.957933
    2.724031      1.518981     2.327458
    0.100832      1.671009     8.712636
   -2.722471     -2.319922    10.665612
    5.866463     -3.284585    35.248677
    8.493300      5.658302     7.783056
   -9.462381      5.715215   -29.993704
  -14.771928      4.322274   -18.045079
   -0.938936     -0.896056   -14.874320
   15.907591    -11.506834   -23.483005
   25.655057     -5.627377   -32.102606
   14.318443      3.833965   -28.275657
    4.792132      1.056400   -27.026688
   17.809631     -2.312126    -1.741436
   12.613130      1.774180    16.899282
  -10.000587     -0.275729   -24.056034
   -1.822517     -3.304076   -28.625711
    9.562174     -2.745601   -15.421881
    7.059819    -11.847533     1.552505
   10.278395    -12.562454    30.020991
   -4.078250     -7.859720    37.732321
  -15.251142     -8.945746    65.492902
   -2.489622     -4.758348    82.589430
   -3.737031      5.159598    78.657491
  -18.983235      5.619320    67.604663
  -18.923204      3.320189    47.821526
   -4.851124      6.057473     9.718360
    2.844354     -7.858421   -50.256314
   11.996182     -7.877132  -110.250218
   25.999654      5.044472  -144.414169
   19.554445      2.844094   -88.887809
    9.204324      2.068621     3.761460
    7.699636     -0.970121    83.086835
   -7.539811     10.800748   123.528894
